501,KURU KÖFTE,DRIED MEATBALLS,GETROCKNET KLOPS,СУХИЕ ФРИКАДЕЛЬКИ,0,0,0,0
502,DARÜL ZİYAFE KÖFTE,DARUL ZIYAFE STYLE MEAT BALLS ,FRIKADELLE NACH DARÜL ZİYAFE ART,ФРИКАДЕЛЬКИ ПО ТУР.,0,0,0,0
503,CEVİZLİ KÖFTE,MEAT BALLS WITH WALNUT,FRİKADELLE  MIT WALNUSS,ФРИКАДЕЛЬКИ С ГРЕЦКИМИ ОРЕХАМИ,0,0,0,0
504,SUCUK ŞİŞ IZGARA,TURKISH SAUSAGE KEBAB,TURKISCHE WURST AM SPIESS,КОЛБАСА НА ШАМПУРЕ,0,0,0,0
505,KIYMALI MAKARNA,PASTA WİTH MINCED MEAT,MAKKARONİ MİT HACKFLEISCH,МАКАРОНЫ С ФАРШИРОВАННЫМ МЯСОМ ,0,0,0,0
506,ARNAVUT CİĞERİ,ALBANIAN STYLE LIVER,LEBER,ПЕЧЕНКА ПО АЛБАНСКИ,0,0,0,0
507,PATLICAN BİBER TAVA,FRIED AUBERGINES AND PEPPERS,AUBERGINEN UND PAPRIKA VOM GRILL,ЖАРЕНЫЕ БАКЛАЖАНЫ С ПЕРЦЕМ,0,0,0,0
508,NAR EKŞİLİ YEŞİL SALATA,GREEN SALAD WITH POMEGRANATE,GRÜNER SALAT MIT GRANATAPFEL,САЛАТ С ЗЕЛЕНЬЮ В ГРАНАТОВОМ СОУСЕ,0,0,0,0
509,BALKABAK VE SALСALI ROASTBEEF,ROASTBEEF WITH PUMPKIN AND SALSA SAUCE,ROASTBEEF MIT KÜRBIS UND SALSA SAUCE,РОСТБИФ С ТЫКВОЙ И СОУСОМ ,0,0,0,0
510,ACILI HİNDİ GÖĞSÜ,SPICY TURKEY BREAST,PIKANTE PUTENBRUST,ПРЯНАЯ ГРУДКА ИНДЕЙКИ,0,0,0,0
511,DOMATESLİ BROKOLİ,BROCCOLI WITH TOMATO,BROKKOLI MIT TOMATEN,БРОККОЛИ С ПОМИДОРАМИ,0,0,0,0
512,SOSLAR, SAUCE, SOβE,СОУСЫ,0,0,0,0
513,PESTO SOSU,PESTO SAUCE,PESTO-SOSSE,"СОУС ""ПЕСТО""",0,0,0,0
514,ANÇUEZ,ANCHOVY,ANCHUEZ,АНЧОУЗ,0,0,0,0
515,ANDOLEZ,ANDOLEZ SAUCE,ANDOLEZ  SOβE,АНДАЛУССКИЙ СОУС,0,0,0,0
516,AVAKADO SOS,AVOCADO SAUCE,AVAKADO SOβE,АВОКАДО,0,0,0,0
517,AYÇİÇEK YAĞI,SUNFLOWER OIL,SONNENBLÜMENÖL,ПОДСОЛНЕЧНОЕ МАСЛО,0,0,0,0
518,EKŞİ-TATLI SOS,SWEET & SOUR SAUCE,SOUER-Süβ SOβE,КИСЛО-СЛАДКИЙ СОУС,0,0,0,0
519,GREEN DRESSING,GREEN DRESSING,GRÜNE  DRESSING,ЗЕЛЕНЫЙ СОУС,0,0,0,0
520,HARDAL,MUSTARD,SENF,ГОРЧИЦА,0,0,0,0
521,KOKTEYL SOS,COCKTAIL SAUCE,COCKTAIL SOβE,СОУС КОКТЕЙЛЬ ,0,0,0,0
522,LİMON SOS,LEMON SAUCE,ZITRONE SOβE,ЛИМОННЫЙ СОУС,0,0,0,0
523,LİMON ,LEMON,ZITRONE SOβE,ЛИМОН  ,0,0,0,0
524,NANE SOS,MINT SAUCE,PFEFFERMINZE SOβE,МЯТНЫЙ СОУС  ,0,0,0,0
525,NAR EKŞİSİ,POMEGRANATE SAUCE,POMEGRANATE SOβE,ГРАНАТОВЫЙ СОУС,0,0,0,0
526,PANCAR SOS,BEETROOT SAUCE,RÜBE SOβE,СОУС ИЗ СВЁКЛЫ,0,0,0,0
527,REMULAD,SAUCE REMOULADE,SOβE REMOULADE,СОУС РЕМУЛАД,0,0,0,0
