ID,TR,EN,DE,RU,GLUTEN,MILK,EGG,FISH
1,KARİDES SOTE,SAUTEED OF SHRIMP,SAUTIERTE GARNELLA,КРЕВЕТКИ НА СКОВОРОДЕ,1,1,1,1
2,ADANA KEBAP,ADANA STYLE KEBAP,ADANA STIL KEBAP,АДАНА КЕБАБ,,,,
3,ADANA KÖFTE,ADANA STYLE MEAT BALLS,ADANA STIL FRIKADELLE,"КОТЛЕТЫ ""АДАНА""",1,,,
4,ALABALIK FLETO,FILLET OF TROUT,FORELLE FILET,ФИЛЕ ФОРЕЛИ,,1,,
5,ALABALIK IZGARA,GRILLED TROUT,GEGRILLTE FORELLE,ФОРЕЛЬ НА ГРИЛЕ,,,1,
6,ALİ PAŞA PİLAVI,RICE WITH MEATBALLS,REIS MIT FRIKADELLE,ПЛОВ С ФРИКАДЕЛЬКАМИ,,,,1
7,ANDOLEZ ÇORBASI,ANDALUSIAN STYLE SOUP,ANDALUSISCHER STILSUPPE,ОСОБЫЙ СУП ИЗ ПОМИДОРОВ,,,,
8,ANKARA TAVA,MEAT WITH VERMICELLI,KALBSFLEISCH MIT NUDELN,МЯСО С ВЕРМИШЕЛЬЮ,,,,
9,ANTRİKOT,FILET STEAK,ENTRECOTE,АНТРЕКОТ,,,,
10,MEKSİKA USUKÜ ANTRIKOT IZGARA,MEXICAN STYLE FILLET STEAK,MEXIKANISCHER STILFILET STEAK,АНТРЕКОТ ГРИЛЬ ПО-МЕКСИКАНСКИ,,,,
11,ANTREKOT IZGARA,GRILLED FILET STEAK,ENTRECOTE GEGRILLTE,АНТРЕКОТ НА ГРИЛЕ,,,,
12,ARMUT PATATES,POTATO,KARTOFFEL,КАРТОФЕЛЬ,,,,
13,ARPA ŞEHRİYELİ PİLAV,RICE WITH NOODLES,REIS MIT NUDEL,ПЛОВ С ВЕРМИШЕЛЬЮ,,,,
14,ATEŞ BİBERİYELİ FASÜLYE ÇORBASI,BEAN SOUP WITH HOT PEPPERS,BOHNEN SUPPE MIT PFEFFER,СУП ИЗ ФАСОЛИ С ПЕРЦЕМ,,,,
15,BADEMLİ PİLAV,RICE WITH ALMONDS,REIS MIT MANDEL,ПЛОВ С МИНДАЛЕМ,,,,
16,BALIK FİLORANTİN,FISH FLORANTINE,FISCH FLORANTIN,РЫБНЫЙ ФЛОРАНТИН,,,,
17,BALIK IZGARA,GRILLED FISH,GEGRILLTE FISCH,РЫБА НА ГРИЛЕ,,,,
18,SOMON IZGARA,GRILLED SALMON,GEGRILLTE LACHSE,ЛОСОСЬ НА ГРИЛЕ,,,,
19,BALIK PANE,BREADED FISH,PANIERTE FISCH,ПАНИРОВАННАЯ РЫБА,,,,
